candidate_rank,score_percentile,kaggle_record_id,pursue_record_id,kaggle_date,pursue_date,pursue_date_precision,pursue_date_hint_start,pursue_date_hint_end,kaggle_location,pursue_location,kaggle_text,pursue_text,pursue_text_kind,pursue_document_release,pursue_pdf_date_evidence,pursue_pdf_location_evidence,kaggle_source_file_or_link,pursue_source_file_or_link,pursue_extracted_text_path,transformer_similarity,lexical_text_similarity,tfidf_text_similarity,text_similarity,location_similarity,date_similarity,domain_entity_similarity,ner_similarity,entity_similarity,final_score,match_explanation,automated_rank_band,automated_rank_notes,manual_label,manual_notes
160,0.6814,1998,65_HS1-834228961_62-HQ-83894_Section_6,,,none,1947.0,1968.0,"weed/yreka (near), ca [41.8589, -122.5531]",,Fall 1999 sighting of green and gold fireballs in N California,"of the green fireballs and dtscs . It was pointed out in the summary furnished by OSI on July 19, 1950, that the unexplained greenfireballs and discs are still observed in the vicinity of sensitive military and l) Go,pernment installations. RESULTS OF AI R FORCE INVES TIGATION The Air Force together with Land- Air, Incorporated, have established a number of observation posts in the vicinity of Vaughn, New Mexico , for the purpose of photographing and determining the speed, height and nature of the unusual phenomena referre d to as green fireballs and discs. On May 24, 1950, personnel of Land- Air, Incorporated, sighted 8 to 10 objects of aerial phenomena.",extracted_document_text,release_1,1948; 1950; 1943; 1944,alamogordo; u.s; ussr; ural; urals; oak ridge; washington; moon,/home/roee/Desktop/nlp_data_ass5/data/raw/ufo/kaggle_ufo.csv,https://www.war.gov/medialink/ufo/release_1/65_hs1-834228961_62-hq-83894_section_6.pdf,data/manual_text/Release_1/Release_1/65_HS1-834228961_62-HQ-83894_Section_6.pdf.txt,0.6764,0.0482,0.0547,0.6764,,,0.0909,0.0,0.0409,0.4245,"used transformer_text, lexical_text, tfidf_text, entity; location ignored because PURSUE location is missing or non-terrestrial",possibly same event,next 32% of exported candidates by final score; uses extracted official document text; score percentile 0.681; official date is missing or only inferred; official location was not usable,,
161,0.6794,33420,document::release_3::DoW-UAP-D080_Narrative-2_Western-US-Event.pdf,2000-03-25,,none,1900.0,2026.0,"lompoc, ca, us [34.6392, -120.4569]",,we were observing the sky in one area. This bright flashing object appeared...not flying.In stationary position. Flashing lights and in,"1845 hours, I observed two circular orb-like lights appearing to be headlights of a vehicle to the south approximately five to seven miles away. The headlights sat still in the valley while we sat and continued to observe the area. At approximately 1900 hours, I observed a row of red lights appearing to hover approximately 15 degrees above the southern horizon (I do not recall how the lights entered the area). The lights were consistent with the glow of a taillight and appeared to be arranged in a triangular formation or attached to unobservable vehicle of some sort; they appeared to cover the area of a football field, hovering over a significant portion of the horizon. The object floated with an impossible, eerie stillness. At that same time, I observed the vehicle to the south of our location flash its lights toward us; the flashing appeared to be consistent with a white pulse.",standalone_extracted_document,release_3,2026; 2023; 1900; 1930; 1915; 2000,several united states; u.s,/home/roee/Desktop/nlp_data_ass5/data/raw/ufo/kaggle_ufo.csv,data/manual_extracted/release_03_documents/DoW-UAP-D080_Narrative-2_Western-US-Event.pdf,data/manual_text/release_03_documents/DoW-UAP-D080_Narrative-2_Western-US-Event.pdf.txt,0.7377,0.0629,0.1124,0.7377,,0.2,0.0,0.0667,0.0367,0.4243,"used transformer_text, lexical_text, tfidf_text, date, entity; location ignored because PURSUE location is missing or non-terrestrial",possibly same event,next 32% of exported candidates by final score; uses extracted official document text; score percentile 0.679; date support is weak; official location was not usable,,
162,0.6774,34262,Western US Event,2013-03-30,2023,year,2023.0,2023.0,"miami, fl, us [25.7739, -80.1939]",Western United States,Orange/red orbs in the night sky,"up at an angle,” while another witness stated sometimes the red orbs would “swoop down” after being launched from the larger orange orb. These events were witnessed by multiple teams from varying locations and vantage points over a two-day period. Due to the sequential nature of the events, it is not known whether there was a single orange “mother” orb that released the groups of red orbs or whether there were multiple orange orbs at play. “Large, Fiery Orb” • Location: Western U.S. • Time of Day: Dusk Artist Rendering • Two federal law enforcement special agents (USPER5 and USPER6) witness a glowing orange orb at a distance of “approximately 500-600 meters,”* where it was perched close to a rock pinnacle.",extracted_document_text,release_1,,usper6,/home/roee/Desktop/nlp_data_ass5/data/raw/ufo/kaggle_ufo.csv,https://www.war.gov/medialink/ufo/release_1/western_us_event_slides_5.08.2026.pdf,data/manual_text/Release_1/Release_1/Western_US_Event_Slides_5.08.2026.pdf.txt,0.8114,0.029,0.1546,0.8114,0.15,0.0,0.25,0.125,0.1813,0.4242,"used transformer_text, lexical_text, tfidf_text, date, entity, location",possibly same event,next 32% of exported candidates by final score; uses extracted official document text; score percentile 0.677; date support is weak,,
163,0.6754,45561,document::release_3::FBI-UAP-D010_FD-302-71_Northeastern-Orb-Sighting_2026.pdf,,,none,1987.0,1987.0,"mexico, ny, us [43.4594, -76.2292]",,((HOAX??)) this oval or sphere or orb was moving from north to south moving very fast color was yellow whit white light around it,"away, at the same height, continuing behind a neighbor's house and beyond a tree that was approximately 75 away. It was at this point where ■--■ stated that - i::;:;iw nnA ()l""h ()()-inCJ -int-() t-h,:, ()t:h<>Y ()l""h hAforA rlii::::ipp..,.~rir.o ~hn1ptly. ■ orbs travel over - stated that a few weeks after this event, ■ saw several ~hite 1111 house from the west to the east. These whi-:e orbs were traveling much higher in ~ltit~dc than the prior red orbs. ■ In 1987, - stated that ■ had witnessed something strange off of in ■■■■■■• near power lines. - saw a red light circling around itself at night described lt like the front end or Kit frurn lnvestii.;ation on Cniced Scaces (In Person) _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ l>atcdralicd - - by This document contains neither ii-commendations nor i:onclusions of the fBI.",standalone_extracted_document,release_3,5-8-10; 1987,,/home/roee/Desktop/nlp_data_ass5/data/raw/ufo/kaggle_ufo.csv,data/manual_extracted/release_03_documents/FBI-UAP-D010_FD-302-71_Northeastern-Orb-Sighting_2026.pdf,data/manual_text/release_03_documents/FBI-UAP-D010_FD-302-71_Northeastern-Orb-Sighting_2026.pdf.txt,0.6581,0.0385,0.0074,0.6581,,,0.2857,0.0,0.1286,0.4241,"used transformer_text, lexical_text, tfidf_text, entity; location ignored because PURSUE location is missing or non-terrestrial",possibly same event,next 32% of exported candidates by final score; uses extracted official document text; score percentile 0.675; official date is missing or only inferred; official location was not usable,,
164,0.6733,79028,document::release_3::DoW-UAP-D081_Narrative-3_Western-US-Event.pdf,2012-09-03,,none,1900.0,2030.0,"farmington, ar, us [36.0419, -94.2469]",,Orange/amber orb. NO sound. NO other lights. moving horizontally from south to north 200 ft above ground,"to be a square over each corner of the airfield. At about the same time, looking south, I also observed orange orbs (possibly two) coming from the same direction (east) I saw the first orange orb (in the para above). They seemed to be hovering near a slope of a west facing ridgeline as the four smaller red orbs hovered over the airfield. I don’t recall if the orange orbs released red orbs in the same manner the first orange orb did. Looking back toward the four hovering red lights, I noticed what appeared to be a vehicle down below me and my partner. We were sitting higher up on a road that sloped upward so the vehicle was below us. As the red lights hovered, the vehicle was flashing its headlights at a slow, methodical tempo, possibly two- three seconds between switching off and on. Again, I don’t recall there being any sound associated with any of this.",standalone_extracted_document,release_3,2026; 2023; 1900; 2000; 2030,several united states; u.s,/home/roee/Desktop/nlp_data_ass5/data/raw/ufo/kaggle_ufo.csv,data/manual_extracted/release_03_documents/DoW-UAP-D081_Narrative-3_Western-US-Event.pdf,data/manual_text/release_03_documents/DoW-UAP-D081_Narrative-3_Western-US-Event.pdf.txt,0.7182,0.0616,0.0781,0.7182,,0.2,0.2,0.05,0.1175,0.4241,"used transformer_text, lexical_text, tfidf_text, date, entity; location ignored because PURSUE location is missing or non-terrestrial",possibly same event,next 32% of exported candidates by final score; uses extracted official document text; score percentile 0.673; date support is weak; official location was not usable,,
165,0.6713,20596,document::release_3::DoW-UAP-D081_Narrative-3_Western-US-Event.pdf,2012-12-25,,none,1900.0,2030.0,"alford (aberdeenshire)(uk/scotland), gb [57.2167, -2.7000]",,((HOAX??)) Flaming orange orbs above car. One viewing my car slow moving orbs. Misty background.,"to be a square over each corner of the airfield. At about the same time, looking south, I also observed orange orbs (possibly two) coming from the same direction (east) I saw the first orange orb (in the para above). They seemed to be hovering near a slope of a west facing ridgeline as the four smaller red orbs hovered over the airfield. I don’t recall if the orange orbs released red orbs in the same manner the first orange orb did. Looking back toward the four hovering red lights, I noticed what appeared to be a vehicle down below me and my partner. We were sitting higher up on a road that sloped upward so the vehicle was below us. As the red lights hovered, the vehicle was flashing its headlights at a slow, methodical tempo, possibly two- three seconds between switching off and on. Again, I don’t recall there being any sound associated with any of this.",standalone_extracted_document,release_3,2026; 2023; 1900; 2000; 2030,several united states; u.s,/home/roee/Desktop/nlp_data_ass5/data/raw/ufo/kaggle_ufo.csv,data/manual_extracted/release_03_documents/DoW-UAP-D081_Narrative-3_Western-US-Event.pdf,data/manual_text/release_03_documents/DoW-UAP-D081_Narrative-3_Western-US-Event.pdf.txt,0.7232,0.0484,0.1027,0.7232,,0.2,0.2,0.0,0.09,0.424,"used transformer_text, lexical_text, tfidf_text, date, entity; location ignored because PURSUE location is missing or non-terrestrial",possibly same event,next 32% of exported candidates by final score; uses extracted official document text; score percentile 0.671; date support is weak; official location was not usable,,
166,0.6693,76428,document::release_3::DoW-UAP-D080_Narrative-2_Western-US-Event.pdf,2008-09-21,,none,1900.0,2026.0,"lee&#39s summit, mo [38.9108, -94.3822]",,Second sighting of same object two nights later. Round&#44 white lights with red and green flashing lights.,"1845 hours, I observed two circular orb-like lights appearing to be headlights of a vehicle to the south approximately five to seven miles away. The headlights sat still in the valley while we sat and continued to observe the area. At approximately 1900 hours, I observed a row of red lights appearing to hover approximately 15 degrees above the southern horizon (I do not recall how the lights entered the area). The lights were consistent with the glow of a taillight and appeared to be arranged in a triangular formation or attached to unobservable vehicle of some sort; they appeared to cover the area of a football field, hovering over a significant portion of the horizon. The object floated with an impossible, eerie stillness. At that same time, I observed the vehicle to the south of our location flash its lights toward us; the flashing appeared to be consistent with a white pulse.",standalone_extracted_document,release_3,2026; 2023; 1900; 1930; 1915; 2000,several united states; u.s,/home/roee/Desktop/nlp_data_ass5/data/raw/ufo/kaggle_ufo.csv,data/manual_extracted/release_03_documents/DoW-UAP-D080_Narrative-2_Western-US-Event.pdf,data/manual_text/release_03_documents/DoW-UAP-D080_Narrative-2_Western-US-Event.pdf.txt,0.7291,0.069,0.1087,0.7291,,0.2,0.1333,0.0,0.06,0.4238,"used transformer_text, lexical_text, tfidf_text, date, entity; location ignored because PURSUE location is missing or non-terrestrial",possibly same event,next 32% of exported candidates by final score; uses extracted official document text; score percentile 0.669; date support is weak; official location was not usable,,
167,0.6673,60685,document::release_3::DoW-UAP-D081_Narrative-3_Western-US-Event.pdf,2012-07-29,,none,1900.0,2030.0,"buffalo, ny, us [42.8864, -78.8786]",,Bright orange orb moving swiftly,"colored cycle. When it was orange, the outline was well defined, but when it was clear, it did not seem to disappeai· as I vaguely recall still being able to see an outline of the orb although it was cleai·. ill ten ns of speed, I'd estimate the orb moved approximately 20 degrees in the sky in about three to five seconds. When the orb was at approximately 45 degrees (halfway between the horizon and directly overhead), it expelled three smaller red orbs. The expulsion appeared to be mechanical. The red orbs then moved to the south in a straight line spaced about one second apart, also at 45 degrees (from directly overhead to the horizon) until I could no longer see them . I did not pay attention to what the orange orb was doing after it released the red orbs. However, I don 't recall seeing it any longer.",standalone_extracted_document,release_3,2026; 2023; 1900; 2000; 2030,several united states; u.s,/home/roee/Desktop/nlp_data_ass5/data/raw/ufo/kaggle_ufo.csv,data/manual_extracted/release_03_documents/DoW-UAP-D081_Narrative-3_Western-US-Event.pdf,data/manual_text/release_03_documents/DoW-UAP-D081_Narrative-3_Western-US-Event.pdf.txt,0.7285,0.0202,0.0912,0.7285,,0.2,0.2,0.0,0.09,0.4238,"used transformer_text, lexical_text, tfidf_text, date, entity; location ignored because PURSUE location is missing or non-terrestrial",possibly same event,next 32% of exported candidates by final score; uses extracted official document text; score percentile 0.667; date support is weak; official location was not usable,,
168,0.6653,2682,65_HS1-834228961_62-HQ-83894_Section_7,,,none,1947.0,1968.0,"chilliwack (canada), ca [49.1667, -121.9500]",,New Information in order to make sense of sightings.,"the only ones likely to produce material suitable for systematic analysis . The Air Force is planning to provide additional tools to help these observers obtain the basic data it needs. Reports of similar phenomena go back to Biblical times. There have boen flurries of them in various centuries. The current series of sightings began generally in 1946. -There are many reasons why the volume of these reports has increased materially during the past few years. Aerial activity originated by man ha.s increased, and people today have a greater curiosity about this activity than before. Also, our present efficient connnunication facilities and news media provide an incentive for reporting unusual observations, for publicizing them and for recording them. However, the ability to measure these phenomena does not seem to have advanced in step with opportunities for observing them. Tho Air Force …",extracted_document_text,release_1,8-9-52; 1952; 3-28-25; 8-5-52; 10/1/47; 3/25/49; 1947,htm; jlicht; mauston; minneapolis; washington; georgia; moon,/home/roee/Desktop/nlp_data_ass5/data/raw/ufo/kaggle_ufo.csv,https://www.war.gov/medialink/ufo/release_1/65_hs1-834228961_62-hq-83894_section_7.pdf,data/manual_text/Release_1/Release_1/65_HS1-834228961_62-HQ-83894_Section_7.pdf.txt,0.7006,0.0293,0.0113,0.7006,,,0.0,0.0,0.0,0.4238,"used transformer_text, lexical_text, tfidf_text, entity; location ignored because PURSUE location is missing or non-terrestrial",possibly same event,next 32% of exported candidates by final score; uses extracted official document text; score percentile 0.665; official date is missing or only inferred; official location was not usable,,
169,0.6633,5248,document::release_3::DoW-UAP-D079_Narrative-1_Western-US-Event.pdf,2000-10-29,,none,2023.0,2026.0,"marion, ks, us [38.3483, -97.0169]",,Multiple balls of orange/red lights appearing and disappearing in the night sky.,"of and away from it. They seemed evenly spaced apart and moved pretty fast, quickly disappearing from sight. At the same time the orange light lit up, there appeared to be a flash from over the horizon to the left. The flash lit up the sky pretty well, though very briefly. About twenty minutes later the experience repeated except this time the orange ball appeared to the front and slightly to the left this time. This time however, the red lights appeared to leave in a different pattern as one flew straight out, one appeared to fly up horizontally and another flew down horizontally, appearing to fly away in a vertical alignment of three lights. A flash accompanied this event as well and all three sightings appeared to be similar though at different distances. Several hours later we departed from where we were at to drive to another location in preparation for work the next day.",standalone_extracted_document,release_3,2026; 2023,several united states; u.s,/home/roee/Desktop/nlp_data_ass5/data/raw/ufo/kaggle_ufo.csv,data/manual_extracted/release_03_documents/DoW-UAP-D079_Narrative-1_Western-US-Event.pdf,data/manual_text/release_03_documents/DoW-UAP-D079_Narrative-1_Western-US-Event.pdf.txt,0.7832,0.0744,0.0805,0.7832,,0.0,0.25,0.0,0.1125,0.4234,"used transformer_text, lexical_text, tfidf_text, date, entity; location ignored because PURSUE location is missing or non-terrestrial",possibly same event,next 32% of exported candidates by final score; uses extracted official document text; score percentile 0.663; date support is weak; official location was not usable,,
170,0.6613,58891,document::release_3::DoW-UAP-D081_Narrative-3_Western-US-Event.pdf,2011-07-02,,none,1900.0,2030.0,"fox lake, il, us [42.3967, -88.1836]",,A bright orange orb appeared in the southern sky moving north. The orb stopped for a few seconds the started heading south at a high ra,"colored cycle. When it was orange, the outline was well defined, but when it was clear, it did not seem to disappeai· as I vaguely recall still being able to see an outline of the orb although it was cleai·. ill ten ns of speed, I'd estimate the orb moved approximately 20 degrees in the sky in about three to five seconds. When the orb was at approximately 45 degrees (halfway between the horizon and directly overhead), it expelled three smaller red orbs. The expulsion appeared to be mechanical. The red orbs then moved to the south in a straight line spaced about one second apart, also at 45 degrees (from directly overhead to the horizon) until I could no longer see them . I did not pay attention to what the orange orb was doing after it released the red orbs. However, I don 't recall seeing it any longer.",standalone_extracted_document,release_3,2026; 2023; 1900; 2000; 2030,several united states; u.s,/home/roee/Desktop/nlp_data_ass5/data/raw/ufo/kaggle_ufo.csv,data/manual_extracted/release_03_documents/DoW-UAP-D081_Narrative-3_Western-US-Event.pdf,data/manual_text/release_03_documents/DoW-UAP-D081_Narrative-3_Western-US-Event.pdf.txt,0.719,0.0749,0.1017,0.719,,0.2,0.2,0.0,0.09,0.4233,"used transformer_text, lexical_text, tfidf_text, date, entity; location ignored because PURSUE location is missing or non-terrestrial",possibly same event,next 32% of exported candidates by final score; uses extracted official document text; score percentile 0.661; date support is weak; official location was not usable,,
171,0.6593,41985,document::release_3::DoW-UAP-D081_Narrative-3_Western-US-Event.pdf,2012-05-12,,none,1900.0,2030.0,"chatham, nj, us [40.7408, -74.3842]",,Reddish/orange orb moving at steady speed across,"colored cycle. When it was orange, the outline was well defined, but when it was clear, it did not seem to disappeai· as I vaguely recall still being able to see an outline of the orb although it was cleai·. ill ten ns of speed, I'd estimate the orb moved approximately 20 degrees in the sky in about three to five seconds. When the orb was at approximately 45 degrees (halfway between the horizon and directly overhead), it expelled three smaller red orbs. The expulsion appeared to be mechanical. The red orbs then moved to the south in a straight line spaced about one second apart, also at 45 degrees (from directly overhead to the horizon) until I could no longer see them . I did not pay attention to what the orange orb was doing after it released the red orbs. However, I don 't recall seeing it any longer.",standalone_extracted_document,release_3,2026; 2023; 1900; 2000; 2030,several united states; u.s,/home/roee/Desktop/nlp_data_ass5/data/raw/ufo/kaggle_ufo.csv,data/manual_extracted/release_03_documents/DoW-UAP-D081_Narrative-3_Western-US-Event.pdf,data/manual_text/release_03_documents/DoW-UAP-D081_Narrative-3_Western-US-Event.pdf.txt,0.7263,0.0374,0.0862,0.7263,,0.2,0.2,0.0,0.09,0.4231,"used transformer_text, lexical_text, tfidf_text, date, entity; location ignored because PURSUE location is missing or non-terrestrial",possibly same event,next 32% of exported candidates by final score; uses extracted official document text; score percentile 0.659; date support is weak; official location was not usable,,
172,0.6573,39594,document::release_3::DoW-UAP-D080_Narrative-2_Western-US-Event.pdf,2012-04-28,,none,1900.0,2026.0,"saint cloud, mn, us [45.5608, -94.1622]",,Red orblike lights moving across the nights sky.,"a luminescent planet obse1ved in the night sky but grew slowly brighter. The bright orb-like light had a smaller red orb-like light within it. As the bright orb-like light grew lai·ger, it expelled three or four red lights from it. The red lights accelerated instantly and maneuvered with perfect, smooth coordination into a horizontal fonnation. The red lights were approximately 1/15 the size of the orb-like light. The bright orb-like light did not appear to be an aitificial neon glow, but rather a bright natural light with a slight halo effect. The red lights were less luminescent and appeai·ed to be more like artificial lights (e.g., taillights). Following the expulsion of the smaller red lights, the bright orb-like light dimmed and faded from sight. From approximately 1900 hours to approximately 1930 hours, I witnessed the process repeat approximately five times across the n01thern …",standalone_extracted_document,release_3,2026; 2023; 1900; 1930; 1915; 2000,several united states; u.s,/home/roee/Desktop/nlp_data_ass5/data/raw/ufo/kaggle_ufo.csv,data/manual_extracted/release_03_documents/DoW-UAP-D080_Narrative-2_Western-US-Event.pdf,data/manual_text/release_03_documents/DoW-UAP-D080_Narrative-2_Western-US-Event.pdf.txt,0.7241,0.0419,0.1248,0.7241,,0.2,0.0714,0.0667,0.0688,0.423,"used transformer_text, lexical_text, tfidf_text, date, entity; location ignored because PURSUE location is missing or non-terrestrial",possibly same event,next 32% of exported candidates by final score; uses extracted official document text; score percentile 0.657; date support is weak; official location was not usable,,
173,0.6553,2277,document::release_3::DoW-UAP-D081_Narrative-3_Western-US-Event.pdf,2013-10-15,,none,1900.0,2030.0,"sacramento, ca, us [38.5817, -121.4933]",,Orange orb drops flashing orbs over sky in Sacramento then disappears.,"colored cycle. When it was orange, the outline was well defined, but when it was clear, it did not seem to disappeai· as I vaguely recall still being able to see an outline of the orb although it was cleai·. ill ten ns of speed, I'd estimate the orb moved approximately 20 degrees in the sky in about three to five seconds. When the orb was at approximately 45 degrees (halfway between the horizon and directly overhead), it expelled three smaller red orbs. The expulsion appeared to be mechanical. The red orbs then moved to the south in a straight line spaced about one second apart, also at 45 degrees (from directly overhead to the horizon) until I could no longer see them . I did not pay attention to what the orange orb was doing after it released the red orbs. However, I don 't recall seeing it any longer.",standalone_extracted_document,release_3,2026; 2023; 1900; 2000; 2030,several united states; u.s,/home/roee/Desktop/nlp_data_ass5/data/raw/ufo/kaggle_ufo.csv,data/manual_extracted/release_03_documents/DoW-UAP-D081_Narrative-3_Western-US-Event.pdf,data/manual_text/release_03_documents/DoW-UAP-D081_Narrative-3_Western-US-Event.pdf.txt,0.718,0.0553,0.1125,0.718,,0.2,0.2,0.0,0.09,0.4229,"used transformer_text, lexical_text, tfidf_text, date, entity; location ignored because PURSUE location is missing or non-terrestrial",possibly same event,next 32% of exported candidates by final score; uses extracted official document text; score percentile 0.655; date support is weak; official location was not usable,,
174,0.6533,34415,document::release_3::DoW-UAP-D081_Narrative-3_Western-US-Event.pdf,2012-03-31,,none,1900.0,2030.0,"lake erling, az [34.0489, -111.0937]",,Five large orange orbs silently moving across horizon low in the sky,"directly overhead to the horizon) until I could no longer see them . I did not pay attention to what the orange orb was doing after it released the red orbs. However, I don 't recall seeing it any longer. I do not recall any sound associated with what I saw. Also, there were no exhaust trails coming from either the orange or the red orbs. Although I could not tell how lai·ge the orange orb was, the red orbs were a lot smaller than the orange orb. Compai·atively, I' d say the red orbs were like grapes being expelled from a basketball. The time fraine for this explanation was maybe 30-45 seconds. ill a second occunence, also in mid-Oct 2023 , either the same night or the next night, I was out with my paitner again but at a different location. It was nearing full darkness, so I'd say the time was probably ~2000-2030 and the sky was cleai·.",standalone_extracted_document,release_3,2026; 2023; 1900; 2000; 2030,several united states; u.s,/home/roee/Desktop/nlp_data_ass5/data/raw/ufo/kaggle_ufo.csv,data/manual_extracted/release_03_documents/DoW-UAP-D081_Narrative-3_Western-US-Event.pdf,data/manual_text/release_03_documents/DoW-UAP-D081_Narrative-3_Western-US-Event.pdf.txt,0.7253,0.0455,0.0838,0.7253,,0.2,0.2,0.0,0.09,0.4228,"used transformer_text, lexical_text, tfidf_text, date, entity; location ignored because PURSUE location is missing or non-terrestrial",possibly same event,next 32% of exported candidates by final score; uses extracted official document text; score percentile 0.653; date support is weak; official location was not usable,,
175,0.6513,487,document::release_2::DOE-UAP-D001_PANTEX_Image.pdf,1957-10-01,,none,,,"northeast cape afs, ak [70.2925, -161.9033]",,Radar sighting and filming,"_________ PanTEX/ UCNI M....,.,..t,.,olO,,.......,l,r Comolnaittd N•idHr SNunly, LlC Pantex Unidentified Object Incident Report Image from Ground Surveillance Radar Tower 0 (bX3) (UCNI) ______ UCNI Page 5 of 6 Panr£x� � and O,,.rlNCI by ______ UCNI Ccmoloat<d Nldnr s«urity llC Pantex Unidentified Object Incident Report Sandia National Labs Enhanced Images of the Object _____ UCNI Page 6 of 6",standalone_extracted_document,release_2,,ground surveillance,/home/roee/Desktop/nlp_data_ass5/data/raw/ufo/kaggle_ufo.csv,data/manual_extracted/release_02_document_bundle/release_02_document_bundle/DOE-UAP-D001_PANTEX_Image.pdf,data/manual_text/release_02_document_bundle/release_02_document_bundle/DOE-UAP-D001_PANTEX_Image.pdf.txt,0.547,0.0226,0.0219,0.547,,,1.0,0.0,0.45,0.4227,"used transformer_text, lexical_text, tfidf_text, entity; location ignored because PURSUE location is missing or non-terrestrial",possibly same event,next 32% of exported candidates by final score; uses extracted official document text; score percentile 0.651; official date is missing or only inferred; official location was not usable,,
176,0.6493,52675,FBI Photo A3,1966-06-30,,none,,,"blocksburg, ca, us [40.2761, -123.6353]",,?,..,extracted_document_text,release_1,,,/home/roee/Desktop/nlp_data_ass5/data/raw/ufo/kaggle_ufo.csv,https://www.war.gov/medialink/ufo/release_1/fbi-photo-a3.png,data/manual_text/Release_1/Release_1/FBI-Photo-B3.pdf.txt,0.6678,0.0,0.0,0.6678,,,0.0,0.2,0.11,0.4227,"used transformer_text, lexical_text, tfidf_text, entity; location ignored because PURSUE location is missing or non-terrestrial",probably not same event,uses extracted official document text; score percentile 0.649; lower-ranked candidate relative to exported matches; official date is missing or only inferred; official location was not usable,,
177,0.6473,52675,FBI Photo A8,1966-06-30,,none,,,"blocksburg, ca, us [40.2761, -123.6353]",,?,..,extracted_document_text,release_1,,,/home/roee/Desktop/nlp_data_ass5/data/raw/ufo/kaggle_ufo.csv,https://www.war.gov/medialink/ufo/release_1/fbi-photo-a8.png,data/manual_text/Release_1/Release_1/FBI-Photo-B8.pdf.txt,0.6678,0.0,0.0,0.6678,,,0.0,0.2,0.11,0.4227,"used transformer_text, lexical_text, tfidf_text, entity; location ignored because PURSUE location is missing or non-terrestrial",probably not same event,uses extracted official document text; score percentile 0.647; lower-ranked candidate relative to exported matches; official date is missing or only inferred; official location was not usable,,
178,0.6453,79225,document::release_3::DoW-UAP-D081_Narrative-3_Western-US-Event.pdf,2011-09-04,,none,1900.0,2030.0,"waterloo, ia, us [42.4928, -92.3428]",,4 large orange orbs moving across sky,"colored cycle. When it was orange, the outline was well defined, but when it was clear, it did not seem to disappeai· as I vaguely recall still being able to see an outline of the orb although it was cleai·. ill ten ns of speed, I'd estimate the orb moved approximately 20 degrees in the sky in about three to five seconds. When the orb was at approximately 45 degrees (halfway between the horizon and directly overhead), it expelled three smaller red orbs. The expulsion appeared to be mechanical. The red orbs then moved to the south in a straight line spaced about one second apart, also at 45 degrees (from directly overhead to the horizon) until I could no longer see them . I did not pay attention to what the orange orb was doing after it released the red orbs. However, I don 't recall seeing it any longer.",standalone_extracted_document,release_3,2026; 2023; 1900; 2000; 2030,several united states; u.s,/home/roee/Desktop/nlp_data_ass5/data/raw/ufo/kaggle_ufo.csv,data/manual_extracted/release_03_documents/DoW-UAP-D081_Narrative-3_Western-US-Event.pdf,data/manual_text/release_03_documents/DoW-UAP-D081_Narrative-3_Western-US-Event.pdf.txt,0.7297,0.0303,0.0689,0.7297,,0.2,0.2,0.0,0.09,0.4225,"used transformer_text, lexical_text, tfidf_text, date, entity; location ignored because PURSUE location is missing or non-terrestrial",probably not same event,uses extracted official document text; score percentile 0.645; lower-ranked candidate relative to exported matches; date support is weak; official location was not usable,,
179,0.6433,68863,document::release_3::DoW-UAP-D081_Narrative-3_Western-US-Event.pdf,2008-08-22,,none,1900.0,2030.0,"chicago, il, us [41.8500, -87.6500]",,Multiple blinking orange orbs over downtown and north side of Chicago,"to be a square over each corner of the airfield. At about the same time, looking south, I also observed orange orbs (possibly two) coming from the same direction (east) I saw the first orange orb (in the para above). They seemed to be hovering near a slope of a west facing ridgeline as the four smaller red orbs hovered over the airfield. I don’t recall if the orange orbs released red orbs in the same manner the first orange orb did. Looking back toward the four hovering red lights, I noticed what appeared to be a vehicle down below me and my partner. We were sitting higher up on a road that sloped upward so the vehicle was below us. As the red lights hovered, the vehicle was flashing its headlights at a slow, methodical tempo, possibly two- three seconds between switching off and on. Again, I don’t recall there being any sound associated with any of this.",standalone_extracted_document,release_3,2026; 2023; 1900; 2000; 2030,several united states; u.s,/home/roee/Desktop/nlp_data_ass5/data/raw/ufo/kaggle_ufo.csv,data/manual_extracted/release_03_documents/DoW-UAP-D081_Narrative-3_Western-US-Event.pdf,data/manual_text/release_03_documents/DoW-UAP-D081_Narrative-3_Western-US-Event.pdf.txt,0.7168,0.0277,0.0872,0.7168,,0.2,0.2,0.05,0.1175,0.4225,"used transformer_text, lexical_text, tfidf_text, date, entity; location ignored because PURSUE location is missing or non-terrestrial",probably not same event,uses extracted official document text; score percentile 0.643; lower-ranked candidate relative to exported matches; date support is weak; official location was not usable,,
