source,entity_label,entity_text,count
kaggle,LOC,pasadena,59
kaggle,GPE,marion,59
kaggle,GPE,pasadena,59
kaggle,LOC,lake havasu city,59
kaggle,LOC,marion,59
kaggle,GPE,lake havasu city,59
kaggle,LOC,dayton,58
kaggle,GPE,middletown,58
kaggle,LOC,middletown,58
kaggle,LOC,new york city (bronx),58
kaggle,GPE,uk/england,58
kaggle,GPE,dayton,58
kaggle,LOC,hampton,58
kaggle,GPE,new york city (bronx),58
kaggle,LOC,uk/england,58
kaggle,LOC,pensacola,58
kaggle,GPE,hampton,58
kaggle,GPE,pensacola,58
kaggle,LOC,westminster,57
kaggle,LOC,plymouth,57
kaggle,GPE,manchester (uk/england),57
kaggle,GPE,westminster,57
kaggle,LOC,birmingham,57
kaggle,GPE,birmingham,57
kaggle,GPE,englewood,57
kaggle,GPE,plymouth,57
kaggle,LOC,englewood,57
kaggle,LOC,kent,57
kaggle,GPE,kent,57
kaggle,LOC,manchester (uk/england),57
kaggle,LOC,fort worth,56
kaggle,GPE,antioch,56
kaggle,GPE,edmonton (canada),56
kaggle,LOC,west palm beach,56
kaggle,GPE,west palm beach,56
kaggle,LOC,antioch,56
kaggle,LOC,huntsville,56
kaggle,GPE,longmont,56
kaggle,GPE,huntsville,56
kaggle,LOC,longmont,56
kaggle,LOC,edmonton (canada),56
kaggle,GPE,washington,56
kaggle,GPE,fort worth,56
kaggle,LOC,greensboro,55
kaggle,LOC,corpus christi,55
kaggle,GPE,greensboro,55
pursue,DATE,2026,55
kaggle,GPE,corpus christi,55
kaggle,MILITARY,army,55
kaggle,LOC,naples,54
kaggle,LOC,hillsboro,54
kaggle,GPE,hillsboro,54
kaggle,GPE,naples,54
kaggle,LOC,st. charles,54
kaggle,GPE,st. charles,54
kaggle,LOC,simi valley,53
kaggle,LOC,detroit,53
kaggle,LOC,redmond,53
kaggle,GPE,redmond,53
kaggle,GPE,simi valley,53
kaggle,GPE,st. petersburg,53
kaggle,LOC,st. petersburg,53
pursue,MILITARY,air force,53
kaggle,GPE,detroit,53
kaggle,LOC,farmington,52
kaggle,GPE,ashland,52
kaggle,LOC,escondido,52
kaggle,GPE,warren,52
kaggle,LOC,ashland,52
kaggle,GPE,santa cruz,52
kaggle,GPE,farmington,52
kaggle,LOC,santa cruz,52
kaggle,GPE,escondido,52
kaggle,LOC,warren,52
kaggle,GPE,london (canada),51
kaggle,GPE,littleton,51
kaggle,GPE,newport,51
kaggle,LOC,littleton,51
kaggle,GPE,norwalk,51
kaggle,LOC,london (canada),51
kaggle,LOC,norwalk,51
kaggle,GPE,kingston,51
kaggle,GPE,kirkland,51
pursue,MILITARY,aircraft,51
kaggle,LOC,loveland,51
kaggle,GPE,roseville,51
kaggle,LOC,kirkland,51
kaggle,LOC,kingston,51
kaggle,GPE,loveland,51
kaggle,LOC,marysville,51
kaggle,LOC,venice,51
kaggle,LOC,newport,51
kaggle,DATE,1999,51
kaggle,LOC,new york city (staten island),51
kaggle,GPE,duluth,51
kaggle,GPE,marysville,51
kaggle,LOC,duluth,51
kaggle,GPE,new york city (staten island),51
kaggle,GPE,venice,51
kaggle,LOC,roseville,51
kaggle,LOC,beaverton,50
kaggle,LOC,huntington,50
kaggle,LOC,surprise,50
kaggle,GPE,huntington,50
kaggle,GPE,beaverton,50
kaggle,LOC,anaheim,50
kaggle,GPE,anaheim,50
kaggle,GPE,surprise,50
kaggle,LOC,west chester,49
kaggle,GPE,west chester,49
kaggle,DATE,1978,49
kaggle,GPE,augusta,49
kaggle,LOC,fort wayne,49
kaggle,LOC,york,49
kaggle,GPE,santa monica,49
kaggle,LOC,concord,49
kaggle,GPE,concord,49
kaggle,GPE,york,49
